column1,Customer_City,Customer_Country,Customer_Email,Customer_Fname,Customer_Id,Customer_Lname,Customer_Password,Customer_Segment,Customer_State,Customer_Street,Customer_Zipcode
18673,Tonawanda,EE. UU.,XXXXXXXXX,Shellie,18406,Clarke,XXXXXXXXX,Consumer,NY,1942 Middle Bluff Crescent,14150
18676,New York,EE. UU.,XXXXXXXXX,Uta,18709,Rose,XXXXXXXXX,Consumer,NY,2455 Stony Fox Crossing,10027
18683,Yonkers,EE. UU.,XXXXXXXXX,Bo,18985,Sellers,XXXXXXXXX,Consumer,NY,3152 Wishing Pointe,10701
18692,New York,EE. UU.,XXXXXXXXX,Gwendolyn,19222,Lara,XXXXXXXXX,Consumer,NY,4208 Harvest Grounds,10024
18693,Brooklyn,EE. UU.,XXXXXXXXX,Xerxes,16400,Webster,XXXXXXXXX,Consumer,NY,2541 Merry Fawn Via,11238
18728,New York,EE. UU.,XXXXXXXXX,Mary,18289,Dickerson,XXXXXXXXX,Consumer,NY,5351 Blue Treasure Square,10025
18734,Bronx,EE. UU.,XXXXXXXXX,Lana,20393,Lynn,XXXXXXXXX,Consumer,NY,3760 Rocky Village,10463
18738,New York,EE. UU.,XXXXXXXXX,Erica,15321,Sanford,XXXXXXXXX,Consumer,NY,8355 Lazy Anchor Pines,10002
15822,New York,EE. UU.,XXXXXXXXX,Rebecca,6843,Smith,XXXXXXXXX,Consumer,NY,2033 Thunder Ledge,10040
15823,Brooklyn,EE. UU.,XXXXXXXXX,Andrea,8054,Smith,XXXXXXXXX,Consumer,NY,3684 Silent Hickory Route,11229
15841,Jackson Heights,EE. UU.,XXXXXXXXX,Shea,13453,Hopkins,XXXXXXXXX,Consumer,NY,5079 Umber Cloud Boulevard,11372
15845,Massapequa,EE. UU.,XXXXXXXXX,Alice,14236,Barker,XXXXXXXXX,Consumer,NY,2929 Green Grove Corner,11758
15872,New York,EE. UU.,XXXXXXXXX,Laura,14105,Gilmore,XXXXXXXXX,Consumer,NY,5332 Heather Hills Isle,10009
15890,Brooklyn,EE. UU.,XXXXXXXXX,Oprah,14455,Cohen,XXXXXXXXX,Consumer,NY,9044 Wishing Court,11236
15892,Freeport,EE. UU.,XXXXXXXXX,Jana,14226,Lawson,XXXXXXXXX,Consumer,NY,8808 Indian Autoroute,11520
15932,New York,EE. UU.,XXXXXXXXX,Susan,13925,Cruz,XXXXXXXXX,Consumer,NY,9437 Middle Beacon Place,10003
15933,Brooklyn,EE. UU.,XXXXXXXXX,Kaye,13583,Carpenter,XXXXXXXXX,Consumer,NY,521 Fallen Lagoon Glade,11235
15988,Jamaica,EE. UU.,XXXXXXXXX,Roger,9525,Gray,XXXXXXXXX,Consumer,NY,603 Hazy Elk Avenue,11435
15992,Brooklyn,EE. UU.,XXXXXXXXX,Felicia,12498,Green,XXXXXXXXX,Consumer,NY,2659 Jagged Rabbit View,11223
15993,Brooklyn,EE. UU.,XXXXXXXXX,Azalia,12714,Boyle,XXXXXXXXX,Consumer,NY,"6391 Sleepy Gardens ",11214
16003,Brooklyn,EE. UU.,XXXXXXXXX,Blair,15123,Stanton,XXXXXXXXX,Consumer,NY,3914 Silver Horse Cape,11226
16005,Buffalo,EE. UU.,XXXXXXXXX,Reagan,14959,Raymond,XXXXXXXXX,Consumer,NY,7502 Foggy Lookout,14221
16007,Brooklyn,EE. UU.,XXXXXXXXX,Indigo,14975,Cotton,XXXXXXXXX,Consumer,NY,4805 Lost Berry Forest,11214
16018,Brooklyn,EE. UU.,XXXXXXXXX,Tamara,12893,Chapman,XXXXXXXXX,Consumer,NY,"9274 Misty Hollow ",11230
16024,New York,EE. UU.,XXXXXXXXX,Lilah,12853,Pierce,XXXXXXXXX,Consumer,NY,"1690 Dusty Mount ",10024
16027,New York,EE. UU.,XXXXXXXXX,Maggie,13400,Singleton,XXXXXXXXX,Consumer,NY,7505 Silent Spring Acres,10027
16049,Troy,EE. UU.,XXXXXXXXX,Betty,3662,Collier,XXXXXXXXX,Consumer,NY,8248 Blue Corners,12180
16052,Bronx,EE. UU.,XXXXXXXXX,Madison,12580,Peterson,XXXXXXXXX,Consumer,NY,"8289 Stony Thicket ",10462
16065,Buffalo,EE. UU.,XXXXXXXXX,Mary,3183,Butler,XXXXXXXXX,Consumer,NY,7639 Silent Valley,14221
16073,Brooklyn,EE. UU.,XXXXXXXXX,Mary,278,Graves,XXXXXXXXX,Consumer,NY,6391 Sleepy Gardens,11214
10549,Rochester,EE. UU.,XXXXXXXXX,Mary,5686,James,XXXXXXXXX,Consumer,NY,771 Misty Alley,14609
10562,Bronx,EE. UU.,XXXXXXXXX,Hillary,16073,Burks,XXXXXXXXX,Consumer,NY,7446 Rocky Lookout,10460
10567,Jackson Heights,EE. UU.,XXXXXXXXX,Chantale,17992,Carpenter,XXXXXXXXX,Consumer,NY,3257 Sleepy View Downs,11372
10576,New York,EE. UU.,XXXXXXXXX,Angela,18294,Chaney,XXXXXXXXX,Consumer,NY,8866 Cotton Timber Meadow,10011
10582,South Richmond Hill,EE. UU.,XXXXXXXXX,Renee,17641,Erickson,XXXXXXXXX,Consumer,NY,89 Fallen Mount,11419
10585,Webster,EE. UU.,XXXXXXXXX,Breanna,17353,Hardin,XXXXXXXXX,Consumer,NY,2959 Old Blossom Farms,14580
10587,New York,EE. UU.,XXXXXXXXX,Sheila,17915,Phelps,XXXXXXXXX,Consumer,NY,8355 Lazy Anchor Pines,10002
10601,New York,EE. UU.,XXXXXXXXX,Maria,4660,Higgins,XXXXXXXXX,Consumer,NY,1407 Crystal Campus,10003
10619,New York,EE. UU.,XXXXXXXXX,Jaquelyn,15635,Dudley,XXXXXXXXX,Consumer,NY,4365 Silver Bay,10031
10628,Endicott,EE. UU.,XXXXXXXXX,Mary,6701,Carter,XXXXXXXXX,Consumer,NY,"8279 Crystal Panda Mall ",13760
10631,Brooklyn,EE. UU.,XXXXXXXXX,Ann,10712,Rose,XXXXXXXXX,Consumer,NY,8081 Cozy Edge,11230
10652,Brooklyn,EE. UU.,XXXXXXXXX,Idola,18925,Oneil,XXXXXXXXX,Consumer,NY,2410 Umber Woods,11208
10655,Spring Valley,EE. UU.,XXXXXXXXX,Robin,15153,Schultz,XXXXXXXXX,Consumer,NY,3238 Pleasant Leaf Thicket,10977
10714,Brooklyn,EE. UU.,XXXXXXXXX,Sharon,12243,Price,XXXXXXXXX,Consumer,NY,7502 Foggy Lookout,11201
10735,New York,EE. UU.,XXXXXXXXX,Denise,5837,Coffey,XXXXXXXXX,Consumer,NY,8059 Cozy Anchor Ramp,10027
10736,South Richmond Hill,EE. UU.,XXXXXXXXX,Daniel,6367,Smith,XXXXXXXXX,Consumer,NY,92 Sleepy Nook,11419
10743,Staten Island,EE. UU.,XXXXXXXXX,David,7102,Bradley,XXXXXXXXX,Consumer,NY,6254 Silent Heath,10314
10765,New York,EE. UU.,XXXXXXXXX,David,7617,Smith,XXXXXXXXX,Consumer,NY,7380 Hazy Timber Expressway,10128
10769,Brooklyn,EE. UU.,XXXXXXXXX,Mary,3895,Contreras,XXXXXXXXX,Consumer,NY,2410 Umber Woods,11208
10776,New York,EE. UU.,XXXXXXXXX,Mary,4192,Figueroa,XXXXXXXXX,Consumer,NY,4208 Harvest Grounds,10024
10785,Tonawanda,EE. UU.,XXXXXXXXX,Theresa,2847,Mays,XXXXXXXXX,Consumer,NY,473 Harvest Row,14150
10787,New York,EE. UU.,XXXXXXXXX,Samuel,9653,Thomas,XXXXXXXXX,Consumer,NY,1965 Shady Robin Townline,10029
10793,Buffalo,EE. UU.,XXXXXXXXX,Pearl,14271,Strong,XXXXXXXXX,Consumer,NY,8382 Rustic Branch Dale,14221
10798,Brooklyn,EE. UU.,XXXXXXXXX,Leigh,13177,Garcia,XXXXXXXXX,Consumer,NY,"7894 Heather Gardens ",11211
10813,Brooklyn,EE. UU.,XXXXXXXXX,Rose,4386,Foster,XXXXXXXXX,Consumer,NY,2636 Indian Expressway,11212
10825,Brooklyn,EE. UU.,XXXXXXXXX,Theresa,8395,Smith,XXXXXXXXX,Consumer,NY,264 Tawny Landing,11233
10833,Bronx,EE. UU.,XXXXXXXXX,Maria,9584,Rowe,XXXXXXXXX,Consumer,NY,9495 Grand Diversion,10473
10843,Brooklyn,EE. UU.,XXXXXXXXX,Iris,14919,Douglas,XXXXXXXXX,Consumer,NY,6909 Shady Sky Park,11224
10857,New York,EE. UU.,XXXXXXXXX,Robert,4289,Smith,XXXXXXXXX,Consumer,NY,3309 Merry Falls,10040
10867,Brooklyn,EE. UU.,XXXXXXXXX,Julie,10645,Mays,XXXXXXXXX,Consumer,NY,7829 Easy Estates,11204
5,Tonawanda,EE. UU.,XXXXXXXXX,Kimberly,19488,Flowers,XXXXXXXXX,Consumer,NY,2122 Hazy Corner,14150
11,Freeport,EE. UU.,XXXXXXXXX,Freya,19482,Robbins,XXXXXXXXX,Consumer,NY,3243 Shady Corner,11520
172,Freeport,EE. UU.,XXXXXXXXX,Patricia,1509,Petersen,XXXXXXXXX,Consumer,NY,3675 Emerald Goose Bank,11520
175,Corona,EE. UU.,XXXXXXXXX,Tyler,9174,Smith,XXXXXXXXX,Consumer,NY,9414 Thunder Island Court,11368
184,Rome,EE. UU.,XXXXXXXXX,Melissa,6246,Ramirez,XXXXXXXXX,Consumer,NY,2459 Round Spring Towers,13440
191,Buffalo,EE. UU.,XXXXXXXXX,Mary,4717,Sanders,XXXXXXXXX,Consumer,NY,4903 Lazy Parkway,14221
194,North Tonawanda,EE. UU.,XXXXXXXXX,Joyce,12383,Phillips,XXXXXXXXX,Consumer,NY,9899 Hazy Falls,14120
196,Jamaica,EE. UU.,XXXXXXXXX,Mary,4674,Lynn,XXXXXXXXX,Consumer,NY,7694 Velvet Turnabout,11434
210,Bronx,EE. UU.,XXXXXXXXX,Larry,1758,King,XXXXXXXXX,Consumer,NY,2515 Burning Boulevard,10466
262,Lockport,EE. UU.,XXXXXXXXX,Emma,3441,Russell,XXXXXXXXX,Consumer,NY,8400 Clear Wagon  Row,14094
264,Staten Island,EE. UU.,XXXXXXXXX,Adam,1555,Smith,XXXXXXXXX,Consumer,NY,4047 Grand Port,10314
268,Bronx,EE. UU.,XXXXXXXXX,Sarah,8544,Smith,XXXXXXXXX,Consumer,NY,3065 Foggy Horse Port,10458
269,Webster,EE. UU.,XXXXXXXXX,Edward,4296,Sanchez,XXXXXXXXX,Consumer,NY,3867 Middle Leaf By-pass,14580
284,North Tonawanda,EE. UU.,XXXXXXXXX,Joseph,5505,Matthews,XXXXXXXXX,Consumer,NY,3046 Broad Sky Dale,14120
295,Bronx,EE. UU.,XXXXXXXXX,Mary,11011,Mullins,XXXXXXXXX,Consumer,NY,3193 Gentle Circuit,10457
5275,Staten Island,EE. UU.,XXXXXXXXX,Mary,11727,Cowan,XXXXXXXXX,Consumer,NY,3323 Rocky Robin Pointe,10312
5283,Flushing,EE. UU.,XXXXXXXXX,Judith,7354,Smith,XXXXXXXXX,Consumer,NY,586 Rocky Branch Ramp,11354
5298,Tonawanda,EE. UU.,XXXXXXXXX,Rose,3376,Cannon,XXXXXXXXX,Consumer,NY,1942 Middle Bluff Crescent,14150
