column1,Customer_City,Customer_Country,Customer_Email,Customer_Fname,Customer_Id,Customer_Lname,Customer_Password,Customer_Segment,Customer_State,Customer_Street,Customer_Zipcode
18635,Greeley,EE. UU.,XXXXXXXXX,Janet,10014,Williams,XXXXXXXXX,Consumer,CO,9890 Pleasant Highway,80631
18636,Hialeah,EE. UU.,XXXXXXXXX,Mary,4947,Hobbs,XXXXXXXXX,Consumer,FL,4110 Silent Pointe,33016
18637,Scottsdale,EE. UU.,XXXXXXXXX,Mary,5662,Figueroa,XXXXXXXXX,Consumer,AZ,9030 Clear Glade,85254
18638,Philadelphia,EE. UU.,XXXXXXXXX,Bruce,5794,Werner,XXXXXXXXX,Consumer,PA,6613 Sleepy Horse Quay,19140
18639,Tampa,EE. UU.,XXXXXXXXX,Mary,5912,Palmer,XXXXXXXXX,Consumer,FL,1066 Stony Bay,33624
18640,Amarillo,EE. UU.,XXXXXXXXX,Brittany,4950,Henry,XXXXXXXXX,Consumer,TX,1507 Hazy Elk Path,79109
18645,Pompano Beach,EE. UU.,XXXXXXXXX,Mary,2196,Jacobs,XXXXXXXXX,Home Office,FL,9607 Merry Grove,33068
18647,Cumberland,EE. UU.,XXXXXXXXX,Christina,10446,Krause,XXXXXXXXX,Home Office,MD,8823 Quiet Brook Port,21502
18649,Philadelphia,EE. UU.,XXXXXXXXX,Kimberly,6116,Tanner,XXXXXXXXX,Home Office,PA,9950 Quiet Spring Wynd,19104
18651,Phoenix,EE. UU.,XXXXXXXXX,Richard,7385,Arellano,XXXXXXXXX,Home Office,AZ,7533 Clear Goose Lane,85040
18652,San Jose,EE. UU.,XXXXXXXXX,Sean,10045,Bradley,XXXXXXXXX,Home Office,CA,990 Dewy Crest,95125
18653,El Cajon,EE. UU.,XXXXXXXXX,Jacob,11740,Foster,XXXXXXXXX,Home Office,CA,3327 Indian Centre,92021
18656,Opa Locka,EE. UU.,XXXXXXXXX,Margaret,8779,Barber,XXXXXXXXX,Home Office,FL,884 Lazy Elk Downs,33055
18657,Kent,EE. UU.,XXXXXXXXX,Jeremy,10520,Williams,XXXXXXXXX,Home Office,WA,4149 Gentle Log Cape,98031
18658,Philadelphia,EE. UU.,XXXXXXXXX,Eugene,11795,Lewis,XXXXXXXXX,Home Office,PA,6088 Hazy Grove Valley,19148
18659,Brooklyn,EE. UU.,XXXXXXXXX,Mary,1227,Fields,XXXXXXXXX,Home Office,NY,381 Velvet Hickory Beach,11209
18660,Hickory,EE. UU.,XXXXXXXXX,Melissa,10732,Robertson,XXXXXXXXX,Home Office,NC,9383 Jagged Front,28601
18662,Hanover,EE. UU.,XXXXXXXXX,Mary,147,Smith,XXXXXXXXX,Home Office,PA,443 Jagged Lane,17331
